"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0120","08","01","06","11","006","2019106604","スミ","00","2","2","01136","高橋亮","530","0",
"20240115","2024","0120","08","01","06","11","007","2020103102","セオ","00","1","2","01168","上村洋行","550","0",
"20240115","2024","0120","08","01","06","11","008","2020106338","ソレイユヴィータ","00","2","2","01157","杉山晴紀","520","0",
"20240115","2024","0120","08","01","06","11","009","2018101945","タガノディアーナ","00","2","2","01173","長谷川浩","540","0",
"20240115","2024","0120","08","01","06","11","010","2016105060","トオヤリトセイト","00","1","2","01149","松下武士","550","0",
"20240115","2024","0120","08","01","06","11","011","2019104556","トランキリテ","00","1","2","01092","松永幹夫","560","0",
"20240115","2024","0120","08","01","06","11","012","2020103450","ピピオラ","00","2","2","01160","武幸四郎","520","0",
"20240115","2024","0120","08","01","06","11","013","2019107075","ブランデーロック","00","1","1","01005","小桧山悟","540","0",
"20240115","2024","0120","08","01","06","11","014","2018103535","ホウオウラスカーズ","00","2","1","01088","高木登","530","0",
"20240115","2024","0120","08","01","06","11","015","2020102817","マラキナイア","00","2","2","01176","吉岡辰弥","540","0",
"20240115","2024","0120","08","01","06","11","016","2017106086","メイショウベッピン","00","2","2","01095","荒川義之","530","0",
"20240115","2024","0120","08","01","06","11","017","2020101784","ラケマーダ","00","1","2","01120","千田輝彦","550","0",
"20240115","2024","0120","10","01","03","09","001","2021104140","グレースルージュ","00","2","2","01130","吉村圭司","550","0",
"20240115","2024","0120","10","01","03","09","002","2021101386","コールミーメイビー","00","0","0","00000","","550","1",
"20240115","2024","0120","10","01","03","09","003","2021104404","シュークリーム","00","2","2","01148","西村真幸","550","0",
"20240115","2024","0120","10","01","03","09","004","2021102562","パルプフィクション","00","2","2","01139","飯田祐史","550","0",
"20240115","2024","0120","10","01","03","09","005","2021100899","ビッグドリーム","00","1","2","01028","西園正都","570","0",
"20240115","2024","0120","10","01","03","09","006","2021109123","ユメカナウケン","00","2","2","00431","谷潔","550","0",
"20240115","2024","0120","10","01","03","09","007","2021103312","ロードマイライフ","00","1","2","01157","杉山晴紀","570","0",
"20240115","2024","0120","10","01","03","09","008","2021102377","ヴェッターホルン","00","1","2","01101","吉田直弘","570","0",
"20240115","2024","0120","10","01","03","10","001","2020102671","アイベラ","00","2","1","01162","田中博康","550","0",
"20240115","2024","0120","10","01","03","10","002","2020106692","アオラキ","00","1","1","01027","田村康仁","570","0",
"20240115","2024","0120","10","01","03","10","003","2020105655","アリスヴェリテ","00","2","2","01039","中竹和也","550","0",
"20240115","2024","0120","10","01","03","10","004","2020102785","イゾレエオリア","00","2","1","01109","伊藤大士","550","0",
"20240115","2024","0120","10","01","03","10","005","2020105189","ウインリュクス","00","2","2","01050","飯田雄三","550","0",
"20240115","2024","0120","10","01","03","10","006","2020102340","カズキ","00","1","2","01084","梅田智之","570","0",
"20240115","2024","0120","10","01","03","10","007","2018106352","キヨラ","05","2","1","01189","堀内岳志","560","0",
"20240115","2024","0120","10","01","03","10","008","2019102559","クインズステラ","00","2","1","01150","池上昌和","560","0",
"20240115","2024","0120","10","01","03","10","009","2018105021","グルーヴビート","00","1","2","01186","中村直也","580","0",
"20240115","2024","0120","10","01","03","10","010","2019100702","コスモエクスプレス","00","1","1","01093","松永康利","580","0",
"20240115","2024","0120","10","01","03","10","011","2019102611","コスモダークナイト","05","1","2","01101","吉田直弘","580","0",
"20240115","2024","0120","10","01","03","10","012","2020105836","ゴールドレコーダー","00","2","1","00437","南田美知","550","0",
"20240115","2024","0120","10","01","03","10","013","2020106680","サスケ","00","1","2","01148","西村真幸","570","0",
"20240115","2024","0120","10","01","03","10","014","2020105031","シュハリ","00","1","1","01096","粕谷昌央","570","0",
"20240115","2024","0120","10","01","03","10","015","2020101212","ショウナンアキドン","00","1","2","01117","高野友和","570","0",
