"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1995107058","11201368","12221294","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0012600000",
"HS","1","20070808","1995107071","11201228","12235009","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0013650000",
"HS","1","20070808","1995107102","11201297","12236220","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0032550000",
"HS","1","20070808","1995107104","11200421","12226605","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0005250000",
"HS","1","20070808","1995107249","11201253","12218824","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
"HS","1","20070808","1995107498","11201386","12219551","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0015450000",
"HS","1","20070808","1995107555","11201360","12234207","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
"HS","1","20070808","1995107943","11201467","12236152","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0005985000",
"HS","1","20070808","1995107993","11403018","12237602","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0023205000",
"HS","1","20070808","1995108001","11201653","12237641","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0029400000",
"HS","1","20070808","1995108203","11201105","12233367","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0003150000",
"HS","1","20070808","1995108309","11201386","12220540","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003255000",
"HS","1","20070808","1995108354","11201246","12233086","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0008400000",
"HS","1","20070808","1995108616","11200881","12224392","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0005775000",
